目的地,移動1,休憩1,移動2,休憩2,移動3,休憩3,移動4,休憩4,移動5,休憩5
大阪市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
尼崎市,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西宮市,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
芦屋市,8.0,16.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
神戸市東灘区,8.0,16.0,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
神戸市灘区,8.0,16.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
神戸市中央区,8.0,16.0,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
神戸市兵庫区,8.0,16.0,6.4,16.0,1.07,0.0,0.0,0.0,0.0,0.0
神戸市長田区,8.0,16.0,6.4,16.0,1.6,0.0,0.0,0.0,0.0,0.0
神戸市須磨区,8.0,16.0,6.4,16.0,2.57,0.0,0.0,0.0,0.0,0.0
神戸市垂水区,8.0,16.0,6.4,16.0,5.12,16.0,1.13,0.0,0.0,0.0
明石市,8.0,16.0,6.4,16.0,5.12,16.0,4.1,16.0,0.35,0.0
神戸市西区,8.0,16.0,6.4,16.0,5.12,16.0,4.1,16.0,2.48,0.0
