目的地,移動1,休憩1,移動2,休憩2,移動3,休憩3,移動4,休憩4,移動5,休憩5,移動6,休憩6
大阪市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
吹田市,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茨木市,7.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高槻市,8.0,16.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
島本町,8.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大山崎町,8.0,16.0,6.4,16.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
長岡京市,8.0,16.0,6.4,16.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
向日市,8.0,16.0,6.4,16.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
京都市,8.0,16.0,6.4,16.0,5.12,16.0,3.31,0.0,0.0,0.0,0.0,0.0
大津市,8.0,16.0,6.4,16.0,5.12,16.0,4.1,16.0,3.28,16.0,1.08,0.0
