目的地,目的地までの距離 (km),移動距離 (km),連続徒歩行動可能時間の初期値 (時),徒歩時間 (時),休憩時間 (時),すべての時間 (時),帰宅行動回数 (回),休憩回数 (回),連続徒歩行動可能時間の履歴 (分)
大阪市,0.0,0.0,10.0,0.0,0.0,0.0,0,0,[]
吹田市,8.5,8.54,10.0,3.28,0.0,3.28,1,0,[600.0]
茨木市,17.0,17.03,10.0,6.55,0.0,6.55,1,0,[600.0]
高槻市,23.7,23.7,10.0,9.12,0.0,9.12,1,0,[600.0]
島本町,30.8,30.81,10.0,11.85,14.0,25.85,2,1,"[600.0, 540.0]"
大山崎町,33.5,33.54,10.0,12.9,14.0,26.9,2,1,"[600.0, 540.0]"
長岡京市,37.7,37.74,10.0,14.52,14.0,28.52,2,1,"[600.0, 540.0]"
向日市,40.9,40.91,10.0,15.73,14.0,29.73,2,1,"[600.0, 540.0]"
京都市,50.2,50.22,10.0,19.32,28.0,47.32,3,2,"[600.0, 540.0, 486.0]"
大津市,61.5,61.53,10.0,23.67,28.0,51.67,3,2,"[600.0, 540.0, 486.0]"
